Name,Category,Value,
"Is Lifetime","Collection","False",
"Is Unsupported CLR","Collection","False",
"Is 64 Bit","Collection","False",
"Is Allocation","Collection","False",
"Is DHP Happened","Collection","False",
"Is Sampling","Collection","True",
"Is Managed","Collection","False",
"Is Graceful Exit","Collection","True",
"Is Instrumentation","Collection","False",
"Application ETL File","ETW","",
"Kernel ETL File","ETW","",
"ETL File Signature","ETW","00000000-0000-0000-0000-000000000000",
"Creation Time","General","15/08/2008 17:20:06",
"Size of Buffers","General","65536",
"I/O Buffers","General","258",
"Clock Frequency","Machine Information","1600",
"CPU Stepping","Machine Information","2",
"Operating System Major Version","Machine Information","5",
"Operating System Build Number","Machine Information","2600",
"Operating System Minor Version","Machine Information","1",
"CPU Model","Machine Information","12",
"Number of CPUs","Machine Information","1",
"Machine Name","Machine Information","MOR",
"CPU Type","Machine Information","AMD",
"CPU Family","Machine Information","15",
"CPU Architecture","Machine Information","Intel",
"Counter 0","Performance Counters","TimeStamp Counter",
"Total Processes","Process","1",
"Maximum Processes","Process","64",
"Process Highwater","Process","1",
"Number of Processes","Process","0",
"Callbacks (Stack Walks) ","Sampling","31740",
"Samples (Callback)","Sampling","31740",
"Samples (Aborted)","Sampling","0",
"Is PageFault Sampling","Sampling","False",
"Samples (Broken)","Sampling","24",
"Sampling Interval","Sampling","10000000",
"Samples (Total)","Sampling","33866",
"Is Performance Counter Sampling","Sampling","False",
"Is SysCall Sampling","Sampling","False",
"Is Cycle Sampling","Sampling","True",
"Samples (Application)","Sampling","31740",
"Samples (Overhead)","Sampling","118",
"Samples (Kernel)","Sampling","1224",
"Samples (Other)","Sampling","784",
"Maximum Threads","Thread","256",
"Number of Threads","Thread","0",
"Total Threads","Thread","1",
"Thread Highwater","Thread","1",
"Minor File Version","Version Information","1",
"Minor Product Version","Version Information","0",
"Major File Version","Version Information","43",
"Version String","Version Information","9.0.21022 x86",
"Build Number","Version Information","21022",
"Major Product Version","Version Information","9",
